iter	RMSE
933	0.125690715
934	0.1256153831
935	0.1255264542
936	0.1253846588
937	0.1252424596
938	0.1250946569
939	0.1249742331
940	0.1248072971
941	0.1247198599
942	0.1246475941
943	0.1245778353
944	0.1243691033
945	0.1242646437
946	0.1241940201
947	0.1240268594
948	0.1239418638
949	0.1237987152
950	0.1236879857
951	0.1235855016
952	0.1235364295
953	0.123368909
954	0.1232457799
955	0.1231077747
956	0.1229561651
957	0.1228831032
958	0.1227854441
959	0.1227522897
960	0.1226211728
961	0.1224819804
962	0.1223965432
963	0.1222465355
964	0.1221500783
965	0.1220118355
966	0.1218705224
967	0.121867122
968	0.1217060594
969	0.1216081943
970	0.1215959634
971	0.1215662878
972	0.1214440566
973	0.1213415614
974	0.1212072579
975	0.1211142238
976	0.1209601602
977	0.1206770546
978	0.1205942539
979	0.1204902882
980	0.1203930973
981	0.1203316975
982	0.1202586412
983	0.1201601926
984	0.1201007527
985	0.1200032016
986	0.1198214316
987	0.1197779322
988	0.1196918637
989	0.1195153444
990	0.1194571913
991	0.1193529884
992	0.1192928064
993	0.1192304361
994	0.1191956309
995	0.1190459799
996	0.1188940705
997	0.118751695
998	0.1187317769
999	0.1185921792
