iter	Passed	Remaining
233	653	2137
234	654	2131
235	657	2127
236	659	2123
237	661	2117
238	663	2111
239	664	2105
240	666	2099
241	668	2093
242	670	2087
243	672	2083
244	674	2079
245	676	2074
246	678	2069
247	680	2063
248	682	2056
249	683	2050
250	685	2044
251	688	2042
252	690	2039
253	692	2034
254	694	2029
255	696	2023
256	698	2018
257	699	2013
258	701	2007
259	704	2004
260	707	2001
261	708	1996
262	710	1991
263	712	1985
264	713	1980
265	715	1975
266	717	1970
267	720	1966
268	721	1961
269	723	1956
270	725	1951
271	727	1946
272	729	1941
273	730	1936
274	732	1931
275	735	1928
276	737	1924
277	739	1919
278	741	1915
279	743	1911
280	745	1906
281	746	1901
282	749	1897
283	751	1894
284	753	1889
285	755	1885
286	757	1880
287	758	1876
288	761	1872
289	763	1868
290	765	1864
291	767	1860
292	769	1856
293	771	1852
294	773	1848
295	775	1845
296	778	1842
297	782	1843
298	784	1839
299	786	1836
300	788	1831
301	790	1827
302	792	1823
303	794	1818
304	796	1815
305	798	1811
306	800	1807
307	802	1803
308	804	1799
309	806	1794
310	808	1790
311	810	1786
312	812	1782
313	814	1779
314	816	1774
315	817	1770
316	819	1766
317	821	1761
318	823	1757
319	824	1752
320	827	1750
321	829	1745
322	830	1741
323	832	1736
324	833	1731
325	835	1727
326	837	1723
327	838	1718
328	840	1714
329	843	1711
330	845	1708
331	846	1703
332	848	1699
333	850	1694
334	851	1690
335	853	1687
336	855	1683
337	857	1679
338	859	1675
339	861	1672
340	863	1667
341	864	1663
342	866	1659
343	867	1655
344	869	1651
345	871	1647
346	874	1645
347	876	1641
348	877	1637
349	879	1633
350	881	1629
351	883	1625
352	885	1622
353	887	1619
354	890	1617
355	892	1614
356	894	1611
357	896	1608
358	899	1605
359	902	1603
360	905	1602
361	908	1601
362	911	1599
363	913	1596
364	915	1592
365	917	1589
366	920	1587
367	922	1584
368	924	1581
369	927	1579
370	929	1576
371	932	1574
372	938	1577
373	940	1574
374	943	1571
375	945	1568
376	948	1566
377	952	1567
378	955	1566
379	958	1563
380	960	1560
381	962	1556
382	964	1553
383	968	1553
384	971	1551
385	972	1547
386	975	1544
387	977	1541
388	978	1537
389	981	1534
390	985	1535
391	988	1533
392	990	1529
393	992	1527
394	995	1524
395	997	1521
396	1000	1520
397	1004	1519
398	1007	1517
399	1013	1519
400	1018	1521
401	1021	1518
402	1023	1516
403	1027	1515
404	1030	1514
405	1033	1512
406	1035	1509
407	1037	1505
408	1039	1502
409	1041	1498
410	1043	1495
411	1047	1494
412	1050	1493
413	1052	1489
414	1054	1486
415	1056	1483
416	1061	1484
417	1065	1483
418	1067	1479
419	1069	1476
420	1071	1473
421	1073	1470
422	1078	1470
423	1080	1467
424	1082	1464
425	1084	1461
426	1086	1457
427	1088	1455
428	1092	1454
429	1095	1452
430	1097	1449
431	1099	1445
432	1101	1441
433	1102	1438
434	1105	1436
435	1108	1434
436	1111	1431
437	1113	1428
438	1114	1424
439	1116	1420
440	1117	1417
441	1119	1413
442	1121	1410
443	1125	1408
444	1127	1406
445	1129	1402
446	1130	1398
447	1132	1395
448	1133	1391
449	1136	1388
450	1139	1386
451	1141	1384
452	1143	1380
453	1145	1377
454	1146	1373
455	1148	1369
456	1149	1366
457	1152	1363
458	1155	1361
459	1157	1358
460	1159	1355
461	1161	1352
462	1163	1348
463	1164	1345
464	1166	1342
465	1170	1341
466	1173	1339
467	1175	1336
468	1177	1333
469	1179	1330
470	1182	1328
471	1186	1327
472	1189	1325
473	1191	1322
474	1193	1319
475	1195	1316
476	1200	1316
477	1203	1313
478	1205	1311
479	1207	1308
480	1209	1305
481	1211	1301
482	1213	1298
483	1216	1297
484	1218	1294
485	1221	1291
486	1223	1288
487	1224	1285
488	1226	1281
489	1228	1279
490	1232	1277
491	1234	1274
492	1236	1271
493	1238	1268
494	1239	1264
495	1241	1261
496	1243	1258
497	1246	1256
498	1249	1254
499	1251	1251
500	1253	1248
501	1254	1244
502	1256	1241
503	1257	1238
504	1261	1236
505	1264	1234
506	1266	1231
507	1269	1229
508	1271	1226
509	1274	1224
510	1278	1223
511	1282	1222
512	1284	1219
513	1286	1216
514	1288	1213
515	1290	1210
516	1293	1208
517	1295	1205
518	1298	1203
519	1300	1200
520	1302	1197
521	1303	1193
522	1305	1190
523	1309	1189
524	1311	1186
525	1313	1183
526	1315	1180
527	1317	1177
528	1318	1174
529	1320	1171
530	1324	1169
531	1326	1166
532	1328	1164
533	1330	1160
534	1332	1157
535	1333	1154
536	1336	1152
537	1338	1149
538	1340	1146
539	1342	1143
540	1344	1140
541	1346	1137
542	1347	1134
543	1349	1131
544	1351	1128
545	1354	1126
546	1356	1123
547	1358	1120
548	1360	1117
549	1361	1114
550	1363	1110
551	1365	1108
552	1367	1105
553	1370	1103
554	1372	1100
555	1375	1098
556	1376	1095
557	1378	1092
558	1380	1089
559	1383	1087
560	1387	1085
561	1393	1085
562	1394	1082
563	1396	1079
564	1398	1076
565	1402	1075
566	1404	1072
567	1407	1070
568	1408	1067
569	1410	1064
570	1412	1061
571	1414	1058
572	1417	1056
573	1420	1054
574	1422	1051
575	1424	1048
576	1426	1045
577	1428	1042
578	1431	1040
579	1433	1038
580	1436	1035
581	1438	1033
582	1440	1030
583	1442	1027
584	1443	1024
585	1446	1021
586	1449	1019
587	1451	1016
588	1453	1013
589	1454	1010
590	1456	1007
591	1458	1005
592	1460	1002
593	1463	1000
594	1466	998
595	1468	995
596	1470	992
597	1472	990
598	1477	988
599	1480	986
600	1482	984
601	1484	981
602	1486	978
603	1488	975
604	1491	973
605	1495	972
606	1498	970
607	1500	967
608	1502	964
609	1504	961
610	1506	959
611	1509	957
612	1511	954
613	1514	952
614	1516	949
615	1518	946
616	1520	943
617	1523	941
618	1525	939
619	1528	937
620	1531	934
621	1533	931
622	1535	928
623	1538	926
624	1541	924
625	1544	922
626	1546	919
627	1548	917
628	1550	914
629	1552	911
630	1556	910
631	1559	907
632	1561	905
633	1562	902
634	1564	899
635	1566	896
636	1569	894
637	1572	892
638	1575	890
639	1577	887
640	1579	884
641	1581	881
642	1582	878
643	1585	876
644	1588	874
645	1591	871
646	1593	869
647	1595	866
648	1596	863
649	1599	861
650	1603	859
651	1606	857
652	1608	854
653	1610	851
654	1612	849
655	1616	847
656	1618	845
657	1621	842
658	1622	839
659	1624	837
660	1626	834
661	1628	831
662	1632	829
663	1635	827
664	1637	824
665	1639	822
666	1642	819
667	1644	817
668	1648	815
669	1650	812
670	1653	810
671	1655	807
672	1657	805
673	1660	803
674	1664	801
675	1667	799
676	1669	796
677	1671	793
678	1672	790
679	1674	787
680	1677	785
681	1679	783
682	1682	780
683	1683	777
684	1685	775
685	1687	772
686	1688	769
687	1690	766
688	1693	764
689	1696	762
690	1698	759
691	1700	756
692	1701	753
693	1703	751
694	1705	748
695	1708	746
696	1711	743
697	1713	741
698	1715	738
699	1717	736
700	1719	733
701	1721	730
702	1724	728
703	1727	726
704	1730	723
705	1731	721
706	1733	718
707	1735	715
708	1737	712
709	1739	710
710	1742	708
711	1744	705
712	1746	702
713	1747	700
714	1749	697
715	1751	694
716	1753	692
717	1756	689
718	1757	687
719	1759	684
720	1761	681
721	1763	678
722	1765	676
723	1766	673
724	1769	671
725	1771	668
726	1773	665
727	1775	663
728	1776	660
729	1778	657
730	1780	655
731	1782	652
732	1785	650
733	1787	647
734	1789	645
735	1792	642
736	1793	640
737	1795	637
738	1797	634
739	1799	632
740	1802	629
741	1804	627
742	1806	624
743	1808	622
744	1810	619
745	1812	617
746	1813	614
747	1816	611
748	1818	609
749	1820	606
750	1822	604
751	1823	601
752	1825	598
753	1827	596
754	1830	593
755	1832	591
756	1834	588
757	1836	586
758	1837	583
759	1839	580
760	1840	578
761	1842	575
762	1844	573
763	1847	570
764	1849	568
765	1851	565
766	1853	562
767	1855	560
768	1857	557
769	1859	555
770	1862	553
771	1864	550
772	1866	548
773	1869	545
774	1870	543
775	1872	540
776	1874	537
777	1876	535
778	1878	533
779	1880	530
780	1882	527
781	1884	525
782	1886	522
783	1887	520
784	1889	517
785	1891	515
786	1894	512
787	1896	510
788	1897	507
789	1899	504
790	1901	502
791	1902	499
792	1904	497
793	1906	494
794	1908	492
795	1910	489
796	1912	487
797	1913	484
798	1915	481
799	1917	479
800	1918	476
801	1920	474
802	1922	471
803	1925	469
804	1926	466
805	1928	464
806	1930	461
807	1932	459
808	1934	456
809	1935	454
810	1937	451
811	1939	449
812	1941	446
813	1943	444
814	1945	441
815	1947	439
816	1949	436
817	1951	434
818	1953	431
819	1955	429
820	1958	426
821	1959	424
822	1961	421
823	1963	419
824	1965	416
825	1966	414
826	1968	411
827	1971	409
828	1973	407
829	1975	404
830	1977	402
831	1979	399
832	1981	397
833	1983	394
834	1986	392
835	1988	390
836	1990	387
837	1991	385
838	1993	382
839	1995	380
840	1997	377
841	1999	375
842	2002	372
843	2004	370
844	2006	368
845	2008	365
846	2010	363
847	2011	360
848	2013	358
849	2016	355
850	2018	353
851	2020	350
852	2022	348
853	2023	346
854	2025	343
855	2027	341
856	2029	338
857	2032	336
858	2034	333
859	2036	331
860	2038	329
861	2040	326
862	2043	324
863	2045	321
864	2048	319
865	2050	317
866	2052	314
867	2054	312
868	2057	310
869	2059	307
870	2061	305
871	2064	302
872	2066	300
873	2069	298
874	2071	295
875	2072	293
876	2075	291
877	2078	288
878	2080	286
879	2083	284
880	2085	281
881	2087	279
882	2089	276
883	2092	274
884	2096	272
885	2098	269
886	2100	267
887	2102	265
888	2104	262
889	2106	260
890	2109	258
891	2112	255
892	2114	253
893	2116	250
894	2118	248
895	2120	246
896	2122	243
897	2125	241
898	2127	239
899	2130	236
900	2132	234
901	2134	231
902	2136	229
903	2138	227
904	2141	224
905	2143	222
906	2146	220
907	2148	217
908	2150	215
909	2152	212
910	2154	210
911	2156	208
912	2159	205
913	2161	203
914	2163	201
915	2165	198
916	2167	196
917	2170	193
918	2175	191
919	2177	189
920	2180	187
921	2183	184
922	2186	182
923	2189	180
924	2191	177
925	2192	175
926	2194	172
927	2196	170
928	2198	168
929	2200	165
930	2204	163
931	2205	160
932	2207	158
933	2209	156
934	2211	153
935	2213	151
936	2215	148
937	2218	146
938	2220	144
939	2222	141
940	2224	139
941	2226	137
942	2228	134
943	2229	132
944	2232	129
945	2234	127
946	2236	125
947	2238	122
948	2240	120
949	2242	118
950	2243	115
951	2245	113
952	2248	110
953	2250	108
954	2252	106
955	2254	103
956	2255	101
957	2257	98
958	2259	96
959	2262	94
960	2264	91
961	2266	89
962	2268	87
963	2270	84
964	2272	82
965	2274	80
966	2276	77
967	2278	75
968	2280	72
969	2282	70
970	2284	68
971	2285	65
972	2287	63
973	2289	61
974	2291	58
975	2294	56
976	2296	54
977	2298	51
978	2300	49
979	2302	46
980	2304	44
981	2305	42
982	2308	39
983	2311	37
984	2313	35
985	2315	32
986	2317	30
987	2319	28
988	2321	25
989	2324	23
990	2326	21
991	2328	18
992	2330	16
993	2332	14
994	2334	11
995	2336	9
996	2338	7
997	2340	4
998	2343	2
999	2345	0
